iter	Passed	Remaining
406	7584	1733
407	7616	1717
408	7648	1701
409	7679	1685
410	7711	1669
411	7743	1653
412	7774	1637
413	7794	1619
414	7819	1601
415	7851	1585
416	7882	1569
417	7913	1552
418	7943	1535
419	7976	1519
420	8010	1503
421	8028	1483
422	8052	1465
423	8085	1449
424	8117	1432
425	8150	1415
426	8182	1398
427	8214	1381
428	8246	1364
429	8279	1347
430	8310	1330
431	8342	1313
432	8367	1294
433	8384	1275
434	8415	1257
435	8446	1239
436	8478	1222
437	8510	1204
438	8542	1187
439	8569	1168
440	8585	1148
441	8619	1131
442	8651	1113
443	8683	1095
444	8714	1077
445	8747	1059
446	8779	1040
447	8810	1022
448	8842	1004
449	8875	986
450	8902	967
451	8919	947
452	8951	928
453	8983	910
454	9016	891
455	9046	872
456	9078	854
457	9112	835
458	9145	816
459	9175	797
460	9207	778
461	9234	759
462	9259	739
463	9293	721
464	9318	701
465	9349	682
466	9379	662
467	9412	643
468	9443	624
469	9473	604
470	9493	584
471	9519	564
472	9548	545
473	9579	525
474	9611	505
475	9642	486
476	9674	466
477	9692	446
478	9718	426
479	9762	406
480	9792	386
481	9817	366
482	9849	346
483	9881	326
484	9914	306
485	9951	286
486	9981	266
487	10012	246
488	10044	225
489	10077	205
490	10109	185
491	10141	164
492	10176	144
493	10208	123
494	10225	103
495	10250	82
496	10281	62
497	10312	41
498	10348	20
499	10379	0
