iter	MultiClass
400	0.6075364604
401	0.6072492804
402	0.6070534936
403	0.60691423
404	0.6066314841
405	0.6063090901
406	0.606073569
407	0.6057510028
408	0.6055528913
409	0.605282931
410	0.6049840848
411	0.6045736125
412	0.604404473
413	0.6041705447
414	0.6039716583
415	0.6036224017
416	0.6033869236
417	0.6032650088
418	0.6029623743
419	0.6025060548
420	0.6020323005
421	0.6019129256
422	0.6016231628
423	0.6013098952
424	0.6010845336
425	0.6008089339
426	0.6005312247
427	0.6002930346
428	0.6000874325
429	0.5998343474
430	0.5996223741
431	0.5992722566
432	0.5990714329
433	0.5989692346
434	0.5987678944
435	0.5986393501
436	0.5983856623
437	0.5981501842
438	0.5978794921
439	0.5976856854
440	0.5975408255
441	0.5971941088
442	0.596984288
443	0.5968066247
444	0.5965279685
445	0.5962660584
446	0.5960370376
447	0.5958243325
448	0.5955019815
449	0.5951983569
450	0.5950326613
451	0.5947958487
452	0.5946023004
453	0.5942476196
454	0.5938993962
455	0.5936950426
456	0.5935032592
457	0.5931447471
458	0.5929339361
459	0.5926665588
460	0.5924290574
461	0.5922267701
462	0.5919556044
463	0.5914946787
464	0.5912815
465	0.5910422337
466	0.5909393465
467	0.5905806192
468	0.5904157845
469	0.590277382
470	0.5900942084
471	0.5897363851
472	0.5896697883
473	0.5894834722
474	0.5892392552
475	0.5890465678
476	0.5887531889
477	0.5886032922
478	0.5883274772
479	0.5878342648
480	0.587435631
481	0.5872949899
482	0.5871839234
483	0.58693058
484	0.5866267832
485	0.5864987555
486	0.5863116645
487	0.5861618109
488	0.5859669711
489	0.5857342482
490	0.5855501276
491	0.5852082754
492	0.5847702948
493	0.5845531987
494	0.5844818665
495	0.5842128102
496	0.5840860309
497	0.5839566686
498	0.5835804633
499	0.5834673736
